RECORD #	qid	LANG	245|abnp	full_location	publisher_text	P123	Dates	subj_text	author_cleaned	P50
b119414284		eng	With only five plums	Q16567	publisher not identified		2010	World War, 1939-1945 Personal narratives, Czech Comic books, strips, etc; Historical Comic books, strips, etc; Lidice (Czech Republic) History Comic books, strips, etc; Historical comics	Terry Eisele	
										
										
										
b85858511		eng	Party life	Q16567	Wunderkind Comics		2011	New wave Comic books, strips, etc; Zines	Aaron Miller	
										
b88036704		eng	S.P.A.C.E : the 12th annual 2011 Small Press Alternative Comics Expo	Q16567	SPACE		2011	Alternative Comic books, strips, etc. Congresses		
b106017779		eng	Romance at the speed of light	Q16567	Cartoon Books		2011	Science fiction comic books, strips, etc	Jeff Smith	
b102961050		eng	Joking victim. : #0	Q16567	Alistrations Omnimedia		2011	Alternative Comic books, strips, etc; Horror	Matt Wyatt	
										
b106505579		eng	Panel turns 18	Q16567	Ferret Press		2011	Alternative Comic books, strips, etc		
b106505609		eng	Panel 17 : pulp	Q16567	Ferret Press		2011	Alternative Comic books, strips, etc		
b119404436		eng	Test!	Q16567	Back Porch Comics		2011	Mathematics; New wave Comic books, strips, etc	Bob Corby	
										
b119599995		eng	Origins unknown : breaking the habit	Q16567	Vantage Inhouse Productions		2011	Superheroes	Victor Dandridge	
b107206468		eng	The 13th annual SPACE, Columbus, Ohio	Q16567	SPACE		2012	Alternative Comic books, strips, etc. Congresses		
b122301547		eng	This campus is a friggin' Escher print : a dumbing of age collection	Q16567	David Willisacken		2012	College students Social life and customs Comic books, strips, etc; Roommates; Dormitory life; Webcomics	David Willis	
										
										
										
b119592642		eng	Nix western comics	Q16567	Nix Comics		2012	Western comic books, strips, etc		
b106388319		eng	Persistence in folly : drawing collages	Q16567	Morris Jackson	Q6913756	2012	New wave Comic books, strips, etc	Morris Jackson	
b106505543		eng	Panel 19 : green	Q16567	Ferret Press		2012	Alternative Comic books, strips, etc		
b119397791		eng	Vugz : fragments	Q16567	Back Porch Comics		2012	New wave Comic books, strips, etc	Bob Corby	
b120715971		eng	Nervenkrank : a story about John Heartfield	Q16567	Katherine K. Wirick		2012	Heartfield, John, 1891-1968 Comic books, strips, etc; Biographical comic books, strips, etc	Katherine K Wirick	
										
b119592587		eng	Boy Howdie : America's favorite new scamp	Q16567	Nix Comics		2012	Funny kid Comic books, strips, etc		
b119592538		eng	Starring Boy Howdie	Q16567	Nix Comics		2012	Funny kid Comic books, strips, etc		
b120483713		eng	Blink : so it goes	Q16567	Point Media		2012	Alternative Comic books, strips, etc	Max Ink	
b117574612		eng	RASL	Q16567	Cartoon Books		2013	Tesla, Nikola, 1856-1943 Comic books, strips, etc; Art thieves; Science fiction	Jeff Smith	
										
										
b119346977		eng	The 14th annual SPACE, Columbus, Ohio : the Small Press & Alternative Comics Expo	Q16567	SPACE		2013	Alternative Comic books, strips, etc. Congresses		
b112662973		eng	Unfashioned creatures : a Frankenstein anthology	Q16567	Red Stylo Media		2013	Frankenstein's Monster (Fictitious character) Comic books, strips, etc; Horror		
										
b119397213		eng	Panel 20	Q16567	Ferret Press		2013	Alternative Comic books, strips, etc; Columbus (Ohio) Comic books, strips, etc		
										
b119404412		eng	Why I'm not musical	Q16567	Back Porch Comics		2013	Autobiographical comic books, strips, etc	Bob Corby	
b102931586		eng	Redrawing French empire in comics	Q16567	The Ohio State University Press	Q7080970	2013	Franco-Belgian Comic books, strips, etc. History and criticism; Imperialism in popular culture France; France Colonies In literature; France Colonies History; Algeria History 1830-1962; Indochina History	Mark McKinney	
										
										
										
										
										
b117274732		eng	King of the comics : William Randolph Hearst and 100 years of King Features	Q16567	The Ohio State University Libraries	Q65070444	2014	Hearst, William Randolph, 1863-1951; King Features Syndicate Exhibitions; Comic books, strips, etc. Exhibitions		
										
										
b117471768		eng	Fear of flying : a collection of daily journal comics from April 2012 to April 2013	Q16567	Drunken Cat Comics		2014	Autobiographical comic books, strips, etc	Brian Canini	
b118787640		eng	The sequentialist	Q16567	Sequentialist Studios Ltd.		2014	Alternative Comic books, strips, etc		
b128031475		eng	Roma aeterna	Q16567	Amiculus Books		2015	Historical Comic books, strips, etc; Rome History Empire, 284-476 Comic books, strips, etc; Rome History Romulus Augustulus, 475-476 Comic books, strips, etc; Historical comics	Travis Horseman	
										
										
										
b123002722		eng	Spitball : a CCAD comics anthology	Q16567	Columbus College of Art and Design	Q5150026	2015	2000-2099 fast; Comic books, strips, etc Ohio 21st century; Comic books, strips, etc; Ohio; Comics (Graphic works) lcgft		
										
										
										
										
b125646392		eng	Blink : and now, this--	Q16567	Point Media		2015	Hate crimes; Race relations; Alternative Comic books, strips, etc	Max Ink	
										
										
b11941644x		eng	Connections : a comics anthology to benefit the American Foundation for Suicide Prevention	Q16567	Sunday Comix		2015	Depression, Mental; Suicide--Prevention; Alternative Comic books, strips, etc		
										
										
b123558207		eng	Emerald Quest	Q16567	Legacy Rising Publication		2016	Fantasy; Fantasy comic books, strips, etc		
										
b125743294		eng	Vigilance	Q16567	Legacy Rising Publication		2016	Superheroes		
b128031451		eng	Flagellum dei	Q16567	Amiculus Books		2016	Historical Comic books, strips, etc; Rome History Empire, 284-476 Comic books, strips, etc; Rome History Romulus Augustulus, 475-476 Comic books, strips, etc; Historical comics	Travis Horseman	
										
										
										
b128271991		eng	Teen girl killed	Q16567	True Life Comix		2016	McCallister, Lauren Comic books, strips, etc; Teenage girls; Teenagers; Teenage girls; Teenagers; Autobiographical comics; Graphic novels; Autobiographical comics; Comic books, strips, etc; Graphic novels	Lauren McCallister	
										
										
										
										
										
										
										
										
										
b121842356		eng	Spitball 2 : a CCAD comic anthology	Q16567	Columbus College of Art and Design	Q5150026	2016	2000-2099 fast; Comic books, strips, etc Ohio 21st century; Comic books, strips, etc; Ohio		
										
										
										
b128272521		eng	Spare parts : a CCAD comics anthology	Q16567	Columbus College of Art and Design	Q5150026	2016	Columbus College of Art and Design; Columbus College of Art and Design; American Comic books, strips, etc; Comic books, strips, etc; United States		
										
										
										
										
b122573948		eng	Inks : the journal of the Comics Studies Society	Q16567	The Ohio State University Press	Q7080970	2017	Comic books, strips, etc. History and criticism Periodicals		
b122362433		eng	Media of serial narrative	Q16567	The Ohio State University Press	Q7080970	2017	Serialized fiction History and criticism; Comic books, strips, etc. History and criticism; Film serials History and criticism; Television series History and criticism; Digital media; Digital storytelling; Popular culture; Comic books, strips, etc; Digital media; Digital storytelling; Film serials; Popular culture; Serialized fiction; Television series; Criticism, interpretation, etc		
										
										
										
										
										
										
										
										
										
										
										
										
										
										
b123559443		eng	Diary of a reluctant dreamer : undocumented vignettes from a pre-American life	Q16567	Mad Creek Books, an imprint of The Ohio State University Press	Q7080970	2017	Ledesma, Alberto, 1965- Comic books, strips, etc; Unauthorized immigration California Oakland Biography Comic books, strips, etc; Mexican Americans California Oakland Biography Comic books, strips, etc; Autobiographical comic books, strips, etc; Noncitizens California Oakland Biography Comic books, strips, etc; United States Emigration and immigration Social aspects Comic books, strips, etc	Alberto Ledesma	
										
										
										
										
										
b123600832		eng	Ethics in the gutter : empathy and historical fiction in comics	Q16567	The Ohio State University Press	Q7080970	2017	Comic books, strips, etc. History and criticism; Empathy; Historical fiction History and criticism; Violence; Graphic novels History and criticism; Comic books, strips, etc; Empathy; Graphic novels; Historical fiction; Violence; Comic books, strips, etc; Criticism, interpretation, etc	Polak, Kate (Assistant professor of English), author	
										
										
										
										
										
										
										
										
										
										
										
b124927294		eng	Between pen and pixel : comics, materiality, and the book of the future	Q16567	The Ohio State University Press	Q7080970	2018	Comic books, strips, etc. History and criticism; Digital media; Material culture; Cartooning Technique; Webcomics; Cartoonists; Cartooning Technique; Cartoonists; Comic books, strips, etc; Digital media; Material culture; Webcomics; Comic books, strips, etc; Criticism, interpretation, etc	Aaron Kashtan	
										
										
										
										
										
										
										
										
										
										
										
										
										
b126672179		eng	Angelitos : a graphic novel	Q16567	Mad Creek Books, an imprint of The Ohio State University Press	Q7080970	2018	García Durán, Alejandro Comic books, strips, etc; Church work with poor children Mexico Comic books, strips, etc; Church work with the homeless Mexico Comic books, strips, etc; Child sexual abuse Mexico Comic books, strips, etc; Comic books, strips, etc; Fiction Cultural Heritage; Fiction Hispanic & Latino; Graphic novels	Ilan Stavans	
										
										
										
										
										
										
										
b12875994x		eng	Tales from la Vida : a Latinx comics anthology	Q16567	Mad Creek Books, an imprint of The Ohio State University Press	Q7080970	2018	Cartoonists United States Biography; Hispanic Americans Biography; American literature Hispanic American authors History and criticism; Comic books, strips, etc. United States History and criticism; Autobiographical comic books, strips, etc; American literature Hispanic American authors; Autobiographical comic books, strips, etc; Cartoonists; Comic books, strips, etc; Hispanic Americans; United States; Biography; Criticism, interpretation, etc		
										
										
										
										
										
										
										
										
										
										
										
										
b129068573		eng	Drawing on anger : portraits of U.S. hypocrisy	Q16567	Mad Creek Books, an imprint of The Ohio State University Press	Q7080970	2018	2000-2099 fast; Domestic relations United States 21st century Comic books, strips, etc; Diplomatic relations; Domestic relations; Politics and government; United States Politics and government 21st century Comic books, strips, etc; Comic books, strips, etc. United States History 21st century; United States Foreign relations 21st century Comic books, strips, etc; United States; Comic books, strips, etc; History; Graphic novels	Eric J. García	
										
										
										
										
										
										
										
										
										
										
										
b122340231		eng	The Gajit Gang	Q16567	Michael A. Carroll		1980-1989	Funny kid Comic books, strips, etc; New wave Comic books, strips, etc	Michael A Carroll	
										
b71885468		eng	Dreamcrashers	Q16567	Immortal Nights Studio		2000-2009	Fantasy; New wave Comic books, strips, etc; Fantasy comic books, strips, etc	Anastasia Heonis	
										
										
b88137272		eng	See line woman	Q16567	Tony Goins		2000-2009	Alternative Comic books, strips, etc	Tony Goins	
b125720488		eng	The Samaritan	Q16567	Vantage Inhouse Productions		2011-2012	Superheroes		
b39601912		eng	Askarihodari	Q16567	Black Air Press			Superheroes; African Americans		
										
b39908264		eng	Dr. Bob & Irving	Q16567	SRD Studios			New wave Comic books, strips, etc		
b4015113x		eng	Filth	Q16567	I Hate You Commicks			New wave Comic books, strips, etc; Superheroes		
										
b49938101		eng	Cow-boy	Q16567	Laughing Ogre Press			Superheroes		
b51979056		eng	Comic book trader	Q16567	Greenlee Publications			Comic books, strips, etc. Collectors and collecting Periodicals		
b52204492		eng	Emperial comics	Q16567	Emperial Publications			Superheroes		
b52350198		eng	The kernal	Q16567	Michael A. Carroll			New wave Comic books, strips, etc; Funny vegetable Comic books, strips, etc		
										
b76131105		eng	Lump of coal	Q16567	Art Explorer Post 407			New wave Comic books, strips, etc		
b88124824		eng	33% Columbus comic	Q16567	s.n			Alternative Comic books, strips, etc		
b96982962		eng	Mid-Ohio-Con convention program book	Q16567	World Famous Comics			Mid-Ohio-Con; Comic books, strips, etc. Congresses	Mid-Ohio-Con	
										
b106381933		eng	Plain brown wrapper	Q16567	Jude Grant.			Alternative Comic books, strips, etc		
b119379259		eng	Spaz!	Q16567	Emi Gennis Comics Illustration			New wave Comic books, strips, etc	Emi Gennis	
b119397262		eng	Untitled	Q16567	Art Explorer Post 407			New wave Comic books, strips, etc		
b119589989		eng	Ohio Chronicles	Q16567	Prosperity Graphics			Historical Comic books, strips, etc; Ohio History Comic books, strips, etc; Historical comics		
										
										
b122017870		eng	Monkey's Retreat : book & comix catalog	Q16567	Monkey's Retreat			Comic books, strips, etc. Catalogs		
b17247925		eng	Bull of the woods	Q991020	Shaw-Barton		1950-1959	Machine shops	J. R. Williams	
b121009531		eng	The heart star	Q2216280	Christoph Meyer		2003	Ghosts; New wave Comic books, strips, etc	Meyer, Christoph (Zine author)	
										
b122341879		eng	A safety lesson with Natural Gas Joe : the greatest ethanethiol-scented comic ever!	Q2216280	Christoph Meyer		2005	New wave Comic books, strips, etc	Meyer, Christoph (Zine author)	
b117551272		eng	What God has revealed to man : the genuine word of God as revealed by the world's holy men and the world's holy books	Q2216280	Christoph Meyer		2005	God; God Humor; Revelation; New wave Comic books, strips, etc; Zines	Meyer, Christoph (Zine author)	
										
										
										
										
b122342392		eng	An unfortunate mouse in our house	Q2216280	Christoph Meyer		2005	New wave Comic books, strips, etc	Meyer, Christoph (Zine author)	
b21723539		eng	Treasure chest of fun & fact	Q34739	G. A. Pflaum		1946	Catholic Church Education Comic books, strips, etc; Educational Comic books, strips, etc; Religious Comic books, strips, etc; Educational comics		
										
										
										
b51397845		eng	Treasure chest of fun and fact (Summer edition)	Q34739	Geo. A. Pflaum		1966	Educational Comic books, strips, etc; Adventure story Comic books, strips, etc; Educational comics		
										
										
b42191130		eng	Pigeon-man, the birdbrain	Q34739	Ferry Tail Studio		1993	Superheroes		
b49765887		eng	Vegman : America's vegetarian super-hero!	Q34739	Checker Comics		1998	Vegetarians; Superheroes	James Patrick White	
										
b40382229		eng	Scooby-Doo! : a 16-month 2003 calendar	Q34739	MeadWestvaco Corporation		2002	Funny horror Comic books, strips, etc. Calendars		
b118214676		eng	Alien Legion : Footsloggers	Q34739	Checker Book Publishing Group	Q5089106	2005	Science fiction comic books, strips, etc	Carl Potts	
b93019841		eng	CliffHangers	Q34739	Studio Akumakaze		2009	Science fiction comic books, strips, etc		
b75139765		eng	Veggie dog Saturn	Q34739	Buyer Beware Comics		2010	New wave Comic books, strips, etc		
b121566353		eng	Mewl : a comic book	Q34739	Buyer Beware Comics		2010	New wave Comic books, strips, etc	Chris Hoium	
b121568167		eng	Chalmers : a Buyer Beware comic book	Q34739	Jason Young		2010	New wave Comic books, strips, etc	Jason Young	
b88038373		eng	Scrap	Q34739	Studio Akumakaze			Science fiction comic books, strips, etc		
b3990801x		eng	Koco comix	Q988937	Koco Comix!		1995	New wave Comic books, strips, etc		
b84854996		eng	SPACE newsletter	Q988937	Back Porch Comics		2000	New wave Comic books, strips, etc. Congresses; Alternative Comic books, strips, etc. Congresses		
										
b52221969		eng	OH, comics!	Q988937	Corby Visual Productions			Alternative Comic books, strips, etc		
b28343074		eng	Arcomics premiere	Q932561	Arcomics		1993	Superheroes		
b10822952x		eng	Grimlock	Q983758	Empyre Comics		1995	Science fiction comic books, strips, etc		
b123551110		eng	Sanity impaired kat	Q1018317	Kel M. Crum		1993	Krazy Kat (Fictitious character) Parodies, imitations, etc; Funny animal Comic books, strips, etc; Parody; New wave Comic books, strips, etc	Kel M Crum	
										
										
										
b120939198		eng	Ed Thud & The Kernal	Q1018317	Kel Crum		2000	New wave Comic books, strips, etc; Funny vegetable Comic books, strips, etc		
										
b96369711		eng	"Your body in flight : an illustrated Book of knowledge"" for the flyer /"""	Q1002506	Maintenance Data Section, Maintenance Division, Air Service Command		1943	Aviation medicine; Aviation medicine; Flight Physiological aspects; Flight Physiological aspects Comic books, strips, etc; Human anatomy; Human anatomy; American Comic books, strips, etc; Comic books, strips, etc; Aerospace Medicine; Atmospheric pressure; Anoxemia; Decompression sickness	United States. Army Air Forces	
										
										
										
										
										
										
										
										
										
										
										
b112600591		eng	Comic attractions magazine	Q1898469	Fatcat Studios.			Comic books, strips, etc. History and criticism Periodicals		
b7378252x		eng	Alice Sinn and the boogey man	Q934308	3 Legged Black Cat Society			New wave Comic books, strips, etc		
b121555215		eng	Fish n chips	Q1924937	Vigil Press		2001	Fantasy; Fantasy comic books, strips, etc	Steve Hamaker	
										
b10298542x		eng	The Ruz	Q852673	Line and Letter		1997	Science fiction; New wave Comic books, strips, etc		
										
b72884824		eng	Comic book fanthropology	Q852673	Eight Twenty Press		2009	Comic books, strips, etc. Collectors and collecting; Fandom	Sean Kleefeld	
										
b49561443		eng	Rich Halegua's Fantastic things	Q2033307	Richard Halegua		1985	Comic books, strips, etc. Catalogs		
b24678983		eng	Zine	Q989949	Young Adults Breakfast Club		1986	New wave Comic books, strips, etc		
b40181315		eng	The lost : a preview	Q989949	publisher not identified		1996	Horror comic books, strips, etc	Marc Andreyko	
b51485965		eng	My funny book	Q989949	My Funny Book		1997	New wave Comic books, strips, etc		
b120491527		eng	Bob	Q989949	Hey Sally! Publications		2002	Fantasy; Alternative Comic books, strips, etc; Fantasy comic books, strips, etc		
										
										
b56914891		eng	Lisa's story : the other shoe	Q989949	The Kent State University Press		2007	Breast Cancer Comic books, strips, etc	Tom Batiuk	
b99118361		eng	Art vandal	Q989949	Timothy Winkler.			New wave Comic books, strips, etc		
b108425691		eng	Comic mania	Q6414293	Don and Ric Martinec		1982	Fantasy; Fantasy comic books, strips, etc		
										
b11258004x		eng	Colt	Q570990	KZ Comics	Q111598171	1985	Superheroes; Funny animal Comic books, strips, etc	Tom Zjaba	
										
b21765595		eng	Crossed swords	Q570990	KZ Comics	Q111598171	1986	Fantasy; Fantasy comic books, strips, etc		
										
b21766885		eng	The Unicorn-kings	Q570990	KZ Comics	Q111598171	1986	Fantasy; Fantasy comic books, strips, etc		
										
b84854959		eng	My funnies file. #1	Q570990	Ken Picklesimer Jr		2002	New wave Comic books, strips, etc	Ken Picklesimer	
b41724835		eng	Man's most-asked question!	Q986776	Fellowship Tract League		1980-2003	Christianity; Religious Comic books, strips, etc		
										
b48445952		eng	New hero comics	Q1001456	Red Spade Graphics		1986	Superheroes; New wave Comic books, strips, etc		
										
b29095906		eng	Citizens publishing	Q843993	Rocket Comics		1988	New wave Comic books, strips, etc. History and criticism; Self-publishing Periodicals		
										
b39555963		eng	Plague of evil	Q843993	DC Comics, Inc.	Q2924461	1994	Christian life; Superheroes	John Celestri	
										
b71885626		eng	The Cincinnatus imperative : ashcan for issue #1 : Wild in the streets	Q843993	Imperative Comics		1996	Superheroes		
b51980149		eng	The comic book newsletter	Q843993	Rocket Comics			Comic books, strips, etc. Collectors and collecting Periodicals		
b112580075		eng	Comet tales	Q843993	Rocket Graphics			Science fiction comic books, strips, etc		
b40704221		eng	Obscurity Unlimited's ad book	Q1883378	Dimestore Productions		2003	Alternative Comic books, strips, etc. Miscellanea		
b121010053		eng	A special promotional booklet presented by Insomniac Machine	Q1883378	Dimestore Productions		2003	New wave Comic books, strips, etc. Catalogs		
b88149432		eng	Dungar the barbarian	Q1883378	Dimestore Productions		2008	Fantasy; New wave Comic books, strips, etc; Fantasy comic books, strips, etc		
										
										
b88090152		eng	Warpath	Q1883378	Dimestore Productions		2008	Western comic books, strips, etc		
b82348418		eng	Helm premiere	Q983698	Helm Comics		1995	Horror; Superheroes		
										
b106505683		eng	Panned	Q985482	Broken Icon Comics		2010	Fantasy; Fantasy comic books, strips, etc		
										
b119594821		eng	HunterPrey	Q985482	Broken Icon Comics		2010	Horror comic books, strips, etc		
b111403881		eng	HunterPrey : welcome to Hell's Gate	Q985482	Broken Icon Comics		2012	Horror comic books, strips, etc	K. J Mendenhall	
b119597469		eng	Chosen & forsaken	Q985482	Broken Icon Comics		2013	Horror comic books, strips, etc	Eric Watkins	
b41791617		eng	Out on a limbo : the first in a series of Mascaraman anthologies, including a reprint of his origin and 3 new tales	Q2372404	Biff Bastard		1990	New wave Comic books, strips, etc; Superheroes	Biff Bastard	
										
b119418289		eng	The tri-light zone comic magazine	Q527887	John Martin		2005	New wave Comic books, strips, etc; Religious Comic books, strips, etc		
										
b106025363		eng	Not of this world comic magazine	Q527887	John Martin			Science fiction; Religious Comic books, strips, etc		
										
b21836024		eng	CAPA-alpha	Q543780	D. & M. Thompson	Q111603624	1964	Comic books, strips, etc. History and criticism Periodicals; Fan magazines		
										
b19797618		eng	A listing of Dell special series comic books (and a few others)	Q543780	D. & M. Thompson	Q111603624	1968	Four color comic Indexes; Comic books, strips, etc. Bibliography	Don Thompson	
										
b19761004		eng	A decade of comics fan awards, 1961-1970	Q543780	D. & M. Thompson	Q111603624	1971	Comic books, strips, etc. United States Awards; Comic books, strips, etc. Awards	Don Thompson	
										
b49948763		eng	The Vault of boredom	Q543780	Basement Comix		1986	New wave Comic books, strips, etc		
b21720393		eng	Newfangles	Q543780	D. & M. Thompson			Fan magazines; Comic books, strips, etc. History and criticism Periodicals		
										
b51976997		eng	Weird fantastic tales	Q543780	Sunset Comics Gang			Superheroes		
b5222398x		eng	Winsor McCay : early works	Q993897	Checker Book Publishing Group	Q5089106	2003	McCay, Winsor; Fantasy; Fantasy comic books, strips, etc	Winsor McCay	
										
										
b68627786		eng	Alex Raymond's Flash Gordon	Q993897	Checker Book Publishing Group	Q5089106	2003	Science fiction comic books, strips, etc	Alex Raymond	
b128799808		eng	Dick Tracy : the Collins casefiles	Q993897	Checker Book Publishing Group	Q5089106	2003	Detective and mystery comic books, strips, etc	Max Allan Collins	
										
										
b107402634		eng	Star trek : the key collection	Q993897	Checker Book Publishing Group	Q5089106	2004	Science fiction comic books, strips, etc		
b107402658		eng	Star trek : the key collection. Volume 2	Q993897	Checker Book Publishing Group	Q5089106	2004	Science fiction comic books, strips, etc		
b100247751		eng	Milton Caniff's Steve Canyon 1949	Q993897	Checker Book Publishing Group	Q5089106	2004	Adventure story Comic books, strips, etc	Milton Caniff	
b107402671		eng	Star Trek : the key collection. Volume 4	Q993897	Checker Book Publishing Group	Q5089106	2005	Science fiction comic books, strips, etc		
b100247829		eng	Milton Caniff's Steve Canyon 1952	Q993897	Checker		2007	Adventure story Comic books, strips, etc	Milton Caniff	
b10841507		eng	Ancient dreams comix	Q2233852	Thru Black Holes Comix	Q111584663	1980	Horror; New wave Comic books, strips, etc	Michael Roden	
										
b10903355		eng	Cluster-land : including Haunt Ville	Q2233852	Thru Black Holes Comix	Q111584663	1981	Electronic music	Michael Roden	
b17576593		eng	A trip to the Bizarre Bazaar	Q2233852	Michael Roden		1981	New wave Comic books, strips, etc	Michael Roden	
b40770710		eng	Crazy men comix	Q2233852	Thru Black Holes Comix	Q111584663	1982	New wave Comic books, strips, etc		
b117476067		eng	Queen of hairy flies	Q2233852	Thru Black Holes Comix	Q111584663	1984	Underground comic books, strips, etc		
b16919452		eng	Crazy men on vacation	Q2233852	Through Black Holes Comix		1985	New wave Comic books, strips, etc		
b19167970		eng	Crazy men go wild!	Q2233852	Thru Black Holes Comix	Q111584663	1986	New wave Comic books, strips, etc	Michael Roden	
b118455011		eng	Midtown Productions collected edition	Q2233852	Twisted Gate Entertainment		2006	Alternative Comic books, strips, etc		
b119364918		eng	Thru black holes	Q2233852	Michael Roden	Q56240044		New wave Comic books, strips, etc		
b21775485		eng	Brainglo	Q2233860	PSI Comics		1987	Superheroes		
b4972969x		eng	Tile	Q998615	Worm Grafix		1998	Alternative Comic books, strips, etc		
b51812393		eng	Invisible robot fish	Q998615	Tile Comix		1999	New wave Comic books, strips, etc		
b54464365		eng	The secret nightmare factory	Q998615	Billy McKay		2000	New wave Comic books, strips, etc	Billy McKay	
b83909643		eng	Time warp mini comix	Q1957189	Dan W. Taylor			New wave Comic books, strips, etc		
b119439876		eng	Symphony in ink	Q1957189	Dan W. Taylor			New wave Comic books, strips, etc		
b107329177		eng	The curious adventures of Inkhat	Q986689	Leslie Anderson		2011	New wave Comic books, strips, etc	Leslie Anderson	
b108664053		eng	Pie chart of robot kid's thoughts	Q998615	Billy McKay	Q721391	2000	New wave Comic books, strips, etc	Billy McKay	
b108664041		eng	The hitcher	Q998615	Tile Comix		2000	New wave Comic books, strips, etc	Billy McKay	
b108664065		eng	Robot kid speaks poetry	Q998615	Billy McKay	Q721391	2000	New wave Comic books, strips, etc	Billy McKay	
b108664077		eng	Franky & Joey find 5 bucks	Q998615	Tile Comix		2000	New wave Comic books, strips, etc	Billy McKay	
b106441309		eng	Spook-i-est	Q998615	Billy McKay	Q721391	2001	Horror; New wave Comic books, strips, etc	Billy McKay	
										
b120795292		eng	Honky Tonk & the Mad Parasite : a combo comic	Q998615	Homsley & McKay		2014	New wave Comic books, strips, etc	Ryan Homsley	
b119595011		eng	The Faustians	Q1018262	Penny Dreadful Press		2007	Horror comic books, strips, etc		
b51974137		eng	Siege	Q1004057	John Stedronsky	Q6258938	1975	Fantasy; Fantasy comic books, strips, etc		
										
b118795533		eng	Shot by a ray gun	Q998615	Billy McKay	Q721391		New wave Comic books, strips, etc		
b20302915		eng	Fandom funnies	Q988384	Weirdo Publishing Company		1975	Comic books, strips, etc. History and criticism Periodicals; Fan magazines		
										
b32966428		eng	A tip o' the nib! : celebrating the works of gay and lesbian cartoonists : featuring Alison Bechdel (Dykes to watch out for), Howard Cruse (Stuck rubber baby), Diane DiMassa (Hothead Paisan), Rupert Kinnard (Cathartic comics) : Saturday, November 1, and Sunday, Nov. 2, 1997	Q988384	Multicultural Resource Center, Oberlin College		1997	Comic books, strips, etc. Congresses; Lesbian artists Congresses; Gay artists Congresses		
										
										
b125363187		eng	P city parade : a comic book	Q1397	Horse Press		1997	Alternative Comic books, strips, etc	Paul Pope	
b101616624		eng	Moordam Christmas comics	Q1397	Moordam Comics		1999	Christmas; Alternative Comic books, strips, etc		
										
b122021241		eng	Champ! in God lurks on the 59th St. bridge	Q1397	Jed Collins	Q6172583	2010	New wave Comic books, strips, etc	Jed Collins	
b119347386		eng	Champ 2010	Q1397	Jed Collins	Q6172583	2011	Autobiographical comic books, strips, etc	Jed Collins	
b124039431		eng	Slide unrequited	Q1397	Stefan Damian		2011	Damian, Stefan (Zine author); Unrequited love; Man-woman relationships; New wave Comic books, strips, etc; Zines; Autobiographies	Damian, Stefan (Zine author), author, illustrator	
										
										
										
										
										
b119439773		eng	Draw freehand! on minicomix day	Q1397	Bruce Chrislip		2012	New wave Comic books, strips, etc	Bruce Chrislip	
b119439785		eng	McCleary minicomix day in Ohio	Q1397	Bruce Chrislip		2012	New wave Comic books, strips, etc	Bruce Chrislip	
b119597184		eng	Spirits in the well	Q1397	Creephouse Comics		2012	Horror comic books, strips, etc	William Tooker	
b119592848		eng	Dead stoned O-h-oh-no! Issue #0	Q1397	Burning Dumpster Production House		2012	Horror comic books, strips, etc		
b119596088		eng	The toyetic adventures of Coco Fiasco	Q1397	2 Headed Monster Comics		2012	Superheroine Comic books, strips, etc		
b119597512		eng	Blink so far	Q1397	interpunct	Q1067693	2013	Alternative Comic books, strips, etc	Max Ink	
b119347234		eng	Susan Downs in Blood on the dance floor	Q1397	Tony Goins		2013	Alternative Comic books, strips, etc	Tony Goins	
b119347374		eng	More stuff : some recent 'Champ!' strips, and one drawing printed for S.P.A.C.E. 2013	Q1397	Rutter Comics		2013	New wave Comic books, strips, etc	Jed Collins	
b119600031		eng	Next year's girl. Volume one : the reckless result of one too many 'somedays' : a collection of webcomics	Q1397	2 Headed Monster Comics		2013	Autobiographical comic books, strips, etc; Webcomics	Katie Valeska	
										
b128807490		eng	The magnolia review zine. No. 3, Watch the sunset from the sky	Q1397	Suzanna Anderson		2013	New wave Comic books, strips, etc; Zines	Suzanna Anderson	
										
b124928973		eng	Doodle a day : (every day) : D.A.D	Q1397	Easy Street Publications		2014	Doodles Periodicals; New wave Comic books, strips, etc; Zines	Theresa Williams	
										
										
b122021095		eng	Multi- : Rumor has it	Q1397	Nick Dutro and Patrick Lay		2014	Fantasy; New wave Comic books, strips, etc; Fantasy comic books, strips, etc	Nick Dutro	
										
										
b104018240		eng	History and politics in French-Language Comics : L. P. Irvin Colloquium, Miami University (Oxford, OH) : conference program	Q990940	Miami University		2004	Franco-Belgian Comic books, strips, etc. Congresses		
b100290644		eng	French-language comics conference, 2-3 November 2012	Q990940	French & Italian, Miami University		2012	Franco-Belgian Comic books, strips, etc. Congresses		
b39420255		eng	The Tri-men	Q1019207	Cowtown Comics		1989	Superheroes; New wave Comic books, strips, etc		
										
b39420267		eng	Our secret masters	Q1019207	Cowtown Comics		1989	Science fiction; New wave Comic books, strips, etc		
										
b98624258		eng	Monty's inferno	Q685335	Brouhaha Studio	Q111603638	1981	Funny horror Comic books, strips, etc	Timothy Fuller	
b2169669x		eng	Hardboiled animal comics	Q685335	Brouhaha Studio	Q111603638	1982	Funny animal Comic books, strips, etc		
b21872703		eng	Hoo ha comics	Q685335	Brouhaha Studio			Funny animal Comic books, strips, etc		
